                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0567,                0.73415,                 1.0868,                0.80479,                0.85144,                0.87947,                0.60254,                 1.1317,                 0.6652,                  1.161,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.054,                0.72779,                 1.0816,                0.85299,                0.82772,                0.87408,                0.60631,                 1.1156,                0.66907,                 1.1516,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0323,                0.72525,                 1.0729,                0.84604,                0.80074,                0.87914,                0.60572,                  1.104,                0.68291,                  1.145,               0.000359,               0.000359,               0.000359
                     38,                 1.0522,                 0.7285,                 1.0791,                0.83753,                0.86207,                0.88946,                0.62132,                 1.1078,                0.65174,                  1.139,             0.00033425,             0.00033425,             0.00033425
                     39,                  1.044,                0.71292,                 1.0783,                0.86578,                0.82999,                0.87611,                0.61545,                 1.0975,                0.67229,                 1.1446,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.0152,                0.69587,                 1.0607,                0.86289,                0.83755,                0.88794,                0.61588,                 1.0973,                0.65558,                  1.138,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.9775,                0.59615,                 1.0818,                  0.851,                 0.8358,                0.88534,                 0.6127,                 1.0957,                0.67306,                 1.1414,                0.00026,                0.00026,                0.00026
                     42,                0.96169,                0.58636,                 1.0736,                0.83926,                 0.8687,                0.89328,                0.62382,                 1.0977,                0.65452,                 1.1386,             0.00023525,             0.00023525,             0.00023525
                     43,                0.94732,                0.56743,                 1.0636,                0.88899,                0.82988,                0.88641,                0.62292,                 1.0897,                  0.646,                  1.139,              0.0002105,              0.0002105,              0.0002105
                     44,                0.94204,                0.55591,                 1.0584,                0.89043,                0.83094,                0.89582,                0.63116,                 1.0957,                  0.643,                 1.1366,             0.00018575,             0.00018575,             0.00018575
                     45,                0.93767,                0.54822,                 1.0511,                0.88841,                 0.8364,                0.89894,                0.62917,                 1.0876,                0.63588,                 1.1333,               0.000161,               0.000161,               0.000161
                     46,                0.92514,                 0.5405,                 1.0485,                 0.9056,                0.83097,                0.89469,                0.63325,                 1.0723,                0.63646,                 1.1272,             0.00013625,             0.00013625,             0.00013625
                     47,                0.92311,                0.53406,                  1.046,                0.89673,                0.83009,                0.89601,                0.63721,                 1.0775,                0.64698,                 1.1301,              0.0001115,              0.0001115,              0.0001115
                     48,                0.91808,                0.52934,                  1.041,                0.86533,                0.85838,                0.90282,                0.63985,                 1.0732,                0.62157,                 1.1292,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 0.9119,                0.52082,                  1.038,                 0.9003,                  0.838,                0.89751,                0.64004,                 1.0767,                0.63067,                 1.1269,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.90645,                  0.521,                 1.0351,                0.87133,                0.86378,                0.90081,                0.64102,                 1.0724,                0.62328,                  1.126,              3.725e-05,              3.725e-05,              3.725e-05
